Round,Pick,Name,Pos,School,School_Class,Signed,Bonus
10,314,Connor McGinnis,2B,Houston,4YR JR,Y,172500
10,315,Jacob Frost,P,Kansas State,4YR SR,Y,47500
11,316,Matthew Boughton,SS,Covenant HS,HS SR,Y,197500
11,317,Zach Harris,P,Georgia,4YR JR,Y,200000
11,318,Jadon Williamson,P,Lewis-Clark State College,4YR 5S,Y,100000
11,319,Alton Davis II,P,Georgia,4YR JR,Y,397500
11,320,Bobby Boser,SS,Florida,4YR SR,Y,150000
11,321,Jack Moroknek,OF,Butler,4YR SR,Y,200000
11,322,Jared Spencer,P,Texas,4YR SR,Y,165000
11,323,Dylan Palmer,2B,Hofstra,4YR JR,Y,150000
11,324,Jake Brink,P,College of Charleston,4YR JR,Y,150000
11,325,Jacob Johnson,P,Pearl River CC,JC J1,Y,300000
11,326,Rod Barajas Jr.,C,Saddleback College,JC J3,Y,247500
11,327,Luke Jackson,P,Texas A&M,4YR JR,Y,497500
11,328,Barrett Morgan,P,Cowley County CC,JC J2,Y,500000
11,329,Ryan Daniels,2B,Connecticut,4YR JR,Y,150000
11,330,Jalin Flores,SS,Texas,4YR JR,Y,175000
11,331,Eli Jerzembeck,P,South Carolina,4YR JR,Y,150000
11,332,Dusty Revis,P,Western Carolina,4YR SR,Y,150000
11,333,Luke Dotson,P,Mississippi State,4YR SO,Y,500000
11,334,Holden deJong,P,New Jersey Institute of Technology,4YR JR,Y,150000
11,335,CJ Hughes,SS,Junipero Serra HS,HS SR,Y,700000
11,336,Justin Thomas,OF,Arkansas,4YR JR,Y,177500
11,337,Colin Daniel,P,U Alabama Birmingham,4YR JR,Y,150000
11,338,Hunter Alberini,P,Arizona,4YR JR,Y,150000
11,339,River Hamilton,P,Sam Barlow HS,HS SR,Y,497500
11,340,Truitt Madonna,C,Ballard HS,HS SR,Y,654000
11,341,Will Vierling,C,Murray State University,4YR JR,Y,150000
11,342,Tyler Howard,C,University of Portland,4YR JR,Y,150000
11,343,Wyatt Vincent,OF,Nixa HS,HS SR,Y,272500
11,344,Ben Grable,P,Indiana,4YR 5S,Y,150000
11,345,Dylan Tate,P,Oklahoma,4YR JR,Y,251500
12,346,Ely Brown,OF,Mercer U,4YR JR,Y,172500
12,347,Brady Parker,P,Houston-Victoria,4YR JR,Y,150000
12,348,Wilson Weber,C,Oregon State,4YR SR,Y,100000
12,349,Talon Haley,P,Lewisburg HS,HS SR,Y,897500
12,350,Alex Barr,P,Kankakee Valley HS,HS SR,Y,350000
12,351,Ben Moore,P,Old Dominion,4YR JR,Y,150000
12,352,Blaine Bullard,OF,Klein Cain HS,HS SR,Y,1697500
12,353,Cameron Keshock,P,Samford University,4YR JR,Y,150000
12,354,Carson Latimer,P,Sacramento State,4YR JR,Y,150000
12,355,Jake Barbee,P,Jay M Robinson HS,HS SR,Y,300000
12,356,Cody Delvecchio,P,UCLA,4YR JR,Y,150000
12,357,Brady Jones,P,Georgia Tech,4YR JR,Y,150000
12,358,Ethan Walker,P,Kentucky,4YR JR,Y,150000
12,359,Kolten Smith,P,Georgia,4YR JR,Y,200000
12,360,Kaden Echeman,P,Northern Kentucky,4YR SR,Y,175000
12,361,Connor Spencer,P,Ole Miss,4YR GR,Y,100000
12,362,Grant Jay,C,Dallas Baptist,4YR JR,Y,150000
12,363,Tayler Montiel,P,Tulane,4YR SR,Y,100000
12,364,Daniel Lopez,P,Odessa College,JC J1,N,
12,365,Cooper Underwood,P,Allatoona HS,HS SR,N,
12,366,Elijah Farley,OF,Navarro HS,HS SR,Y,150000
12,367,Jay Woolfolk,P,Virginia,4YR SR,Y,150000
12,368,Matthew Hoskins,P,Georgia,4YR JR,Y,150000
12,369,Cash Kuiper,P,Murray State College,JC J2,Y,150000
12,370,George Bilecki,OF,Lewis U,4YR JR,Y,150000
12,371,Tyler Bowen,P,Lander University,4YR SR,Y,150000
12,372,Ryan DeSanto,P,Penn State,4YR JR,Y,150000
12,373,Truman Pauley,P,Harvard,4YR SO,Y,400000
12,374,Camden Troyer,OF,Liberty University,4YR SR,Y,150000
12,375,Logan Lunceford,P,Wake Forest,4YR JR,Y,150000
13,376,Rylan Galvan,C,Texas,4YR JR,Y,150000
13,377,Izeah Muniz,P,Mt. San Antonio College,JC J2,Y,150000
13,378,Chase Renner,P,Penn State,4YR SR,Y,150000
13,379,Xavier Mitchell,P,Prestonwood Christian Academy,HS SR,Y,872500
13,380,Bryan Arendt,C,UNC Wilmington,4YR SR,Y,100000
13,381,Tucker Biven,P,Louisville,4YR JR,Y,150000
13,382,Trace Baker,P,UNC Wilmington,4YR JR,Y,150000
13,383,Dylan Mathiesen,P,Liberty University,4YR JR,Y,150000
