Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2023,Jake Babuschak,Sacred Heart,JR,6,4,3.65,15,14,1,0,0,81.1,82,40,33,35,71,5,0.262,0.344,0.361,0.705,0.319,9.8%,19.8%,10.1%,2.02,1.44,3.65,4.85,5.67,4.24,68.7%,42.6%,15.3%,42.1%,8.9%,6.1%
2023,Jake Bloss,Georgetown,GR,8,4,2.58,14,13,1,0,0,76.2,58,28,22,24,96,5,0.21,0.285,0.297,0.582,0.303,7.8%,31.4%,23.5%,4.03,1.07,2.58,3.61,4.06,2.44,82.5%,44.7%,17.3%,38.0%,12.3%,7.4%
2023,Jake Bockenstedt,SIU Edwardsville,SR,5,6,4.68,15,15,0,0,0,84.2,79,49,44,34,88,13,0.247,0.34,0.369,0.708,0.308,9.1%,23.5%,14.4%,2.58,1.33,4.68,5.13,5.31,3.66,76.7%,35.5%,24.7%,39.8%,10.8%,9.8%
2023,Jake Brooks,UCLA,JR,6,6,5.64,14,14,0,0,0,75.0,87,53,47,19,77,12,0.282,0.346,0.455,0.801,0.348,5.5%,22.4%,16.9%,4.07,1.41,5.64,4.91,5.16,3.37,66.4%,40.1%,18.9%,41.0%,8.8%,9.7%
2023,Jake Combs,Southern Illinois,JR,3,2,2.97,16,15,0,0,0,63.2,59,25,21,18,47,8,0.249,0.321,0.371,0.692,0.285,6.7%,17.5%,10.8%,2.61,1.21,2.97,5.13,5.98,4.47,83.6%,34.2%,17.1%,48.7%,11.2%,6.6%
2023,Jake Gigliotti,Northeastern,JR,8,0,3.24,23,8,0,0,2,66.2,55,27,24,17,65,6,0.224,0.287,0.325,0.612,0.279,6.3%,23.9%,17.6%,3.79,1.08,3.24,4.21,4.51,3.21,76.1%,50.8%,16.9%,32.2%,6.0%,8.5%
2023,Jake Goble,South Dakota State,SO,5,3,4.57,15,11,0,0,0,61.0,52,37,31,19,46,6,0.24,0.312,0.355,0.667,0.275,7.6%,18.4%,10.8%,2.42,1.16,4.57,4.99,5.49,4.14,70.0%,47.1%,15.1%,37.8%,7.6%,7.7%
2023,Jake Knapp,North Carolina,JR,5,4,5.04,16,16,0,0,0,64.1,67,40,36,36,65,5,0.262,0.362,0.488,0.851,0.298,12.0%,21.7%,9.7%,1.81,1.6,5.04,6.88,6.0,4.33,80.3%,32.5%,22.0%,45.5%,6.8%,16.1%
2023,Jake Neuman,Central Connecticut,JR,6,3,5.38,14,14,0,0,0,77.0,93,54,46,31,61,10,0.312,0.393,0.44,0.833,0.379,9.0%,17.7%,8.7%,1.97,1.61,5.38,4.87,5.6,4.3,70.1%,50.0%,18.5%,31.5%,4.7%,5.5%
2023,Jake Noviello,Fairfield,GR,7,3,5.22,15,14,1,1,0,89.2,96,54,52,30,52,12,0.276,0.348,0.445,0.794,0.287,7.5%,13.0%,5.5%,1.73,1.41,5.22,6.3,6.67,5.3,72.6%,35.4%,16.3%,48.3%,11.8%,9.4%
2023,Jake Peppers,Jacksonville State,JR,4,4,4.81,18,9,0,0,1,58.0,52,36,31,26,60,3,0.239,0.327,0.353,0.68,0.305,10.4%,24.0%,13.6%,2.31,1.34,4.81,4.71,5.16,3.72,70.3%,40.3%,20.1%,39.6%,9.4%,7.9%
2023,Jake Sansing,Air Force,SR,7,4,4.29,18,11,0,0,1,79.2,90,38,38,24,50,3,0.288,0.34,0.47,0.81,0.317,7.0%,14.5%,7.5%,2.07,1.43,4.29,5.23,5.73,4.65,72.8%,42.6%,19.6%,37.7%,6.8%,8.0%
2023,Jake Shirk,Wright State,JR,5,5,4.77,16,15,1,1,0,83.0,92,56,44,14,71,8,0.275,0.318,0.433,0.75,0.323,3.9%,19.6%,15.7%,5.03,1.28,4.77,4.66,4.69,3.43,62.1%,52.1%,16.7%,31.2%,3.4%,11.0%
2023,Jake Wolf,UNC Greensboro,SR,4,1,5.77,27,1,0,0,1,73.1,81,57,47,46,40,10,0.29,0.396,0.462,0.858,0.29,13.1%,11.4%,-1.7%,0.87,1.73,5.77,7.55,7.49,5.95,64.9%,38.8%,18.4%,42.9%,6.9%,11.4%
2023,Jakob Hall,Oral Roberts,SO,8,3,3.56,18,18,0,0,0,98.2,93,43,39,17,94,10,0.251,0.302,0.411,0.712,0.3,4.3%,23.5%,19.3%,5.47,1.11,3.56,4.93,4.59,3.06,81.7%,44.8%,16.7%,38.5%,8.9%,13.5%
2023,Jalon Long,Southern,SR,4,3,7.32,13,13,0,0,0,55.1,55,51,45,37,60,8,0.255,0.382,0.394,0.775,0.333,14.0%,22.6%,8.7%,1.61,1.66,7.32,5.38,5.93,4.29,58.3%,47.4%,16.0%,36.5%,9.6%,7.0%
2023,James Gladden,VCU,FR,5,3,5.43,16,6,0,0,0,61.1,65,42,37,35,45,8,0.257,0.365,0.443,0.808,0.274,11.8%,15.2%,3.4%,1.29,1.63,5.43,7.05,6.52,5.01,71.3%,50.2%,13.0%,36.7%,4.3%,14.5%
2023,James Hicks,South Carolina,JR,8,1,3.51,25,6,0,0,3,66.2,59,29,26,14,56,5,0.234,0.287,0.397,0.684,0.266,5.1%,20.4%,15.3%,4.0,1.1,3.51,5.09,4.69,3.51,73.4%,53.1%,14.6%,32.3%,5.7%,14.5%
2023,James Sashin,San Diego,JR,2,3,4.45,17,9,0,0,0,58.2,72,31,29,27,51,4,0.301,0.381,0.435,0.817,0.359,9.9%,18.7%,8.8%,1.89,1.69,4.45,5.57,5.62,4.37,76.2%,39.9%,25.1%,35.0%,4.9%,10.9%
2023,James Sells,Middle Tennessee,SO,6,5,5.23,26,1,0,0,5,65.1,85,48,38,19,53,4,0.318,0.37,0.506,0.875,0.358,6.5%,18.0%,11.6%,2.77,1.59,5.23,5.98,4.95,3.89,61.4%,51.0%,19.5%,29.5%,1.9%,19.4%
2023,Jamie Hitt,Oklahoma,FR,6,2,4.89,17,12,0,0,0,70.0,70,42,38,23,41,6,0.266,0.331,0.399,0.73,0.277,7.6%,13.6%,6.0%,1.79,1.33,4.89,5.91,5.86,4.72,69.4%,50.0%,15.2%,34.8%,3.1%,11.5%
2023,Jared Engman,Washington,JR,3,5,5.91,16,15,0,0,0,67.0,70,46,44,37,31,5,0.272,0.373,0.451,0.825,0.27,12.3%,10.3%,-2.0%,0.84,1.6,5.91,7.55,6.41,5.11,75.6%,62.8%,11.9%,25.2%,4.4%,21.1%
2023,Jared Feikes,Santa Clara,SR,5,1,5.09,18,13,0,0,1,69.0,64,41,39,22,54,10,0.249,0.327,0.432,0.758,0.273,7.4%,18.1%,10.7%,2.45,1.25,5.09,5.86,5.46,4.11,73.2%,47.8%,17.9%,34.3%,3.9%,14.1%
2023,Jarrett Blunt,Evansville,GR,5,1,3.64,21,6,0,0,0,64.1,64,29,26,20,65,15,0.26,0.346,0.37,0.716,0.326,7.0%,22.6%,15.7%,3.23,1.31,3.64,4.78,5.22,3.49,76.1%,45.0%,19.4%,35.6%,7.8%,7.8%
2023,Jason Doktorczyk,Nevada,SO,3,5,6.45,14,14,0,0,0,75.1,102,62,54,18,71,7,0.317,0.365,0.556,0.921,0.375,5.1%,20.2%,15.1%,3.96,1.59,6.45,5.36,4.91,3.55,63.5%,50.4%,16.0%,33.6%,4.4%,14.3%
2023,Jason Savacool,Maryland,JR,9,5,4.12,16,15,0,0,0,96.0,88,52,44,39,86,7,0.254,0.341,0.422,0.763,0.297,9.9%,21.8%,11.9%,2.2,1.32,4.12,5.99,5.05,3.82,76.1%,51.7%,18.6%,29.7%,4.2%,19.2%
2023,Jay Driver,Harvard,JR,3,3,4.41,12,12,0,0,0,67.1,70,45,33,29,69,11,0.267,0.359,0.344,0.703,0.345,9.3%,22.2%,12.9%,2.39,1.47,4.41,4.47,5.4,3.82,69.0%,46.4%,17.2%,36.5%,10.4%,4.3%
2023,Jay Miller,UNC Greensboro,FR,2,8,5.76,18,15,0,0,0,75.0,95,60,48,29,44,12,0.32,0.397,0.532,0.928,0.335,8.3%,12.5%,4.3%,1.51,1.65,5.76,6.94,7.02,5.39,67.9%,34.1%,16.7%,49.2%,6.5%,10.7%
2023,Jayden Shertel,UMBC,SO,4,5,5.71,14,14,0,0,0,75.2,80,55,48,33,51,4,0.271,0.346,0.468,0.814,0.286,9.6%,14.8%,5.2%,1.54,1.49,5.71,6.38,6.45,5.25,66.9%,36.2%,16.2%,47.7%,14.5%,10.7%
2023,Jayson Hibbard,Illinois State,JR,0,3,6.05,16,10,0,0,0,61.0,69,48,41,19,30,5,0.288,0.346,0.5,0.846,0.288,7.0%,11.1%,4.1%,1.59,1.44,6.05,6.52,6.97,5.79,64.6%,30.7%,18.4%,50.9%,9.9%,9.3%
2023,Jeffrey Maidhof,Queens (NC),SR,3,5,5.99,18,12,2,1,0,79.2,110,64,53,20,39,2,0.322,0.36,0.518,0.877,0.324,5.4%,10.5%,5.1%,1.94,1.63,5.99,6.64,6.23,5.19,63.9%,39.6%,19.5%,40.9%,8.7%,13.1%
2023,Jeremy Lee,South Alabama,SO,2,8,6.41,14,13,1,0,0,66.0,68,52,47,37,65,18,0.268,0.395,0.378,0.773,0.332,11.8%,20.7%,8.9%,1.75,1.59,6.41,6.11,5.75,3.96,66.3%,61.9%,13.8%,24.3%,4.2%,15.2%
2023,Jermel Ford,Alcorn State,SO,1,9,10.05,17,15,1,0,0,60.0,77,87,67,67,45,13,0.321,0.482,0.483,0.965,0.367,20.1%,13.5%,-6.6%,0.67,2.4,10.05,7.79,8.89,6.58,52.7%,33.5%,19.4%,47.1%,7.9%,5.6%
2023,Jesse Barker,Central Arkansas,JR,7,4,3.0,14,14,3,1,0,96.0,85,36,32,22,109,6,0.227,0.28,0.412,0.692,0.273,5.4%,27.0%,21.5%,5.0,1.11,3.0,5.06,4.66,2.79,91.9%,35.1%,16.2%,48.6%,8.1%,13.5%
