W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName
4.0,3.0,1.8473684581429022,25.0,0.0,0.0,0.0,9.0,63.1,255.0,40.0,16.0,13.0,1.0,20.0,5.0,7.0,0.0,61.0,8.66842122667054,2.8421053202198494,3.05,0.14210526601099246,0.23921569,0.07843137,0.17391304,0.9473684400732831,0.23214286,0.77044025,3.410458031968727,-1.5630895738258248,0.16078431,22.0,22.0,2024,Izaak Martinez,UCSD,sa3025345,801555.0,/players/izaak-martinez/sa3025345/stats/pitching,278,University of California San Diego 
2.0,0.0,1.8620689042825072,16.0,0.0,0.0,0.0,7.0,19.1,81.0,20.0,4.0,4.0,2.0,4.0,0.0,2.0,0.0,12.0,5.586206712847522,1.8620689042825072,3.0,0.9310344521412536,0.14814815,0.04938272,0.25974026,1.2413792695216714,0.28571429,0.94339623,4.884971933557646,-3.022903029275138,0.09876543,24.0,24.0,2024,Cael Chatham,HPU,sa3028787,,/players/cael-chatham/sa3028787/stats/batting,95,High Point University 
0.0,0.0,1.8620689042825072,18.0,0.0,0.0,0.0,1.0,19.1,77.0,8.0,4.0,4.0,1.0,13.0,0.0,5.0,0.0,33.0,15.362068460330685,6.0517239389181485,2.53846154,0.4655172260706268,0.42857143,0.16883117,0.125,1.0862068608314626,0.23333333,0.86734694,3.1330924699762908,-1.2710235656937836,0.25974026,21.0,21.0,2024,Hunter Hodges,TCU,sa3033903,,/players/hunter-hodges/sa3033903/stats/pitching,259,Texas Christian University 
2.0,1.0,1.8712870580357066,27.0,0.0,0.0,0.0,10.0,33.2,137.0,18.0,10.0,7.0,4.0,11.0,4.0,2.0,0.0,45.0,12.029702515943828,2.940593948341825,4.09090909,1.069306890306118,0.32846715,0.08029197,0.14754098,0.8613861060799285,0.19178082,0.83941606,4.112037605515252,-2.2407505474795455,0.24817518,21.0,21.0,2024,Josh Blum,USC,sa3027287,810840.0,/players/joshua-blum/sa3027287/stats/pitching,237,University of Southern California 
3.0,4.0,1.9285713535008584,26.0,0.0,0.0,0.0,13.0,32.2,142.0,16.0,11.0,7.0,2.0,15.0,17.0,1.0,0.0,47.0,12.948979087791479,4.132652900358982,3.13333333,0.551020386714531,0.33098592,0.1056338,0.14545455,0.9489795548972478,0.2295082,0.81858407,4.761259645067222,-2.832688291566363,0.22535211,21.0,21.0,2024,Bridger Holmes,ORST,sa3025189,822175.0,/players/bridger-holmes/sa3025189/stats/pitching,199,Oregon State University 
3.0,0.0,1.9636362955392908,11.0,0.0,0.0,0.0,0.0,18.1,75.0,13.0,5.0,4.0,2.0,8.0,0.0,3.0,0.0,20.0,9.818181477696454,3.9272725910785815,2.5,0.9818181477696454,0.26666667,0.10666667,0.19402985,1.145454505731253,0.24444444,0.87912088,4.3106004959295605,-2.3469642003902695,0.16,19.0,19.0,2024,Jacob McGovern,CLEM,sa3037606,,/players/jacob-mcgovern/sa3037606/stats/pitching,49,Clemson University 
0.0,1.0,1.9756097101441892,21.0,1.0,0.0,0.0,1.0,27.1,117.0,18.0,6.0,6.0,1.0,14.0,6.0,3.0,0.0,24.0,7.902438840576757,4.609755990336442,1.71428571,0.32926828502403155,0.20512821,0.11965812,0.18556701,1.1707316800854455,0.23611111,0.87431694,5.075468151403425,-3.0998584412592356,0.08547009,23.0,23.0,2024,JT Inskeep,GWEB,sa3034436,,/players/jt-inskeep/sa3034436/stats/pitching,82,Gardner-Webb University 
1.0,1.0,1.9756097101441892,9.0,2.0,0.0,0.0,0.0,13.2,63.0,15.0,9.0,3.0,3.0,8.0,2.0,1.0,0.0,7.0,4.609755990336442,5.268292560384505,0.875,1.9756097101441892,0.11111111,0.12698413,0.28301887,1.682926790122828,0.27906977,0.76923077,7.9950839292854186,-6.019474219141229,-0.01587302,23.0,23.0,2024,Will Jenkins,MTSU,sa3034647,,/players/will-jenkins/sa3034647/stats/pitching,152,Middle Tennessee State University 
2.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,18.0,78.0,14.0,4.0,4.0,0.0,9.0,4.0,1.0,0.0,22.0,11.0,4.5,2.44444444,0.0,0.28205128,0.11538462,0.21538462,1.2777777777777777,0.3255814,0.85185185,3.7725878609551327,-1.7725878609551327,0.16666667,24.0,24.0,2024,Michael Guerrero,NICH,sa3032830,,/players/michael-guerrero/sa3032830/stats/pitching,173,Nicholls State University 
7.0,3.0,2.010638257074594,34.0,0.0,0.0,0.0,12.0,62.2,253.0,41.0,19.0,14.0,6.0,18.0,3.0,5.0,0.0,92.0,13.212765689347334,2.5851063305244786,5.11111111,0.8617021101748261,0.36363636,0.07114625,0.17672414,0.9414893425984212,0.26119403,0.80223881,3.0789757705479524,-1.0683375134733581,0.29249012,24.0,24.0,2024,Charlie Beilenson,DUKE,sa3025590,810897.0,/players/charles-beilenson/sa3025590/stats/pitching,64,Duke University 
11.0,1.0,2.02499994482313,15.0,15.0,1.0,0.0,0.0,93.1,359.0,49.0,21.0,21.0,4.0,32.0,4.0,6.0,0.0,145.0,13.982142476159709,3.085714201635246,4.53125,0.38571427520440577,0.40389972,0.08913649,0.15170279,0.867857119209913,0.25862069,0.80604534,2.4809309657739123,-0.4559310209507821,0.31476323,20.0,20.0,2024,Trey Yesavage,ECU,35456,702056.0,/players/trey-yesavage/35456/stats/pitching,65,East Carolina University 
2.0,2.0,2.032258064516129,22.0,0.0,0.0,0.0,8.0,31.0,125.0,19.0,9.0,7.0,2.0,18.0,3.0,1.0,0.0,46.0,13.35483870967742,5.225806451612903,2.55555556,0.5806451612903226,0.368,0.144,0.18269231,1.1935483870967742,0.30357143,0.83333333,4.55763874361592,-2.525380679099791,0.224,24.0,24.0,2024,Alec Burnett,WAG,sa3028077,,/players/alec-burnett/sa3028077/stats/pitching,289,Wagner College 
9.0,2.0,2.0357142857142856,16.0,16.0,0.0,0.0,0.0,84.0,331.0,41.0,22.0,19.0,5.0,34.0,5.0,2.0,0.0,161.0,17.25,3.642857142857143,4.73529412,0.5357142857142857,0.48640483,0.10271903,0.14041096,0.8928571428571429,0.28571429,0.79452055,2.0052290280659992,0.030485257648286357,0.3836858,20.0,20.0,2024,Hagen Smith,ARK,sa3025544,696146.0,/players/hagen-smith/sa3025544/stats/pitching,13,University of Arkansas Fayetteville 
2.0,1.0,2.0377359223900533,17.0,0.0,0.0,0.0,0.0,17.2,74.0,12.0,6.0,4.0,2.0,9.0,0.0,0.0,0.0,19.0,9.679245631352753,4.58490582537762,2.11111111,1.0188679611950267,0.25675676,0.12162162,0.18461538,1.1886792880608645,0.22727273,0.82417582,4.819750413320889,-2.7820144909308353,0.13513514,23.0,23.0,2024,Coby Moe,WKU,sa3038200,,/players/coby-moe/sa3038200/stats/pitching,294,Western Kentucky University 
2.0,0.0,2.0769231378679462,12.0,0.0,0.0,0.0,0.0,21.2,102.0,23.0,6.0,5.0,2.0,13.0,2.0,3.0,0.0,25.0,10.384615689339732,5.400000158456661,1.92307692,0.8307692551471785,0.24509804,0.12745098,0.26436782,1.661538510294357,0.35,0.90909091,5.130064824008379,-3.0531416861404326,0.11764706,21.0,21.0,2024,Kevin Warunek,LONG,sa3044815,825100.0,/players/kevin-warunek/sa3044815/stats/pitching,126,Longwood University 
4.0,1.0,2.1272727272727274,28.0,0.0,0.0,0.0,7.0,55.0,227.0,33.0,15.0,13.0,2.0,21.0,7.0,7.0,0.0,76.0,12.436363636363636,3.4363636363636365,3.61904762,0.32727272727272727,0.33480176,0.09251101,0.16582915,0.9818181818181818,0.25619835,0.79037801,3.330323158610951,-1.2030504313382235,0.24229075,22.0,22.0,2024,Luke Craig,UNCW,sa3025433,823996.0,/players/luke-craig/sa3025433/stats/pitching,187,University of North Carolina Wilmington 
4.0,3.0,2.16,25.0,0.0,0.0,0.0,7.0,25.0,104.0,21.0,11.0,6.0,2.0,9.0,1.0,1.0,0.0,38.0,13.68,3.24,4.22222222,0.72,0.36538462,0.08653846,0.22340426,1.2,0.35185185,0.70921986,3.057230377197266,-0.8972303771972658,0.27884615,23.0,23.0,2024,Hunter Cranton,KU,sa3025298,675450.0,/players/hunter-cranton/sa3025298/stats/pitching,113,University of Kansas 
2.0,1.0,2.16,18.0,4.0,0.0,0.0,0.0,25.0,101.0,13.0,7.0,6.0,1.0,10.0,4.0,1.0,0.0,26.0,9.36,3.6,2.6,0.36,0.25742574,0.0990099,0.14942529,0.92,0.2,0.78125,3.8851459693908694,-1.7251459693908693,0.15841584,21.0,21.0,2024,David Boisvert,DUKE,sa3027339,,/players/david-boisvert/sa3027339/stats/pitching,64,Duke University 
2.0,0.0,2.16,14.0,0.0,0.0,0.0,0.0,25.0,102.0,18.0,11.0,6.0,1.0,10.0,3.0,1.0,0.0,16.0,5.76,3.6,1.6,0.36,0.15686275,0.09803922,0.20224719,1.12,0.23611111,0.67567568,5.169678211212158,-3.009678211212158,0.05882353,,,2024,Josh Cunningham,SLU,sa3029694,,/players/josh-cunningham/sa3029694/stats/pitching,245,Saint Louis University 
2.0,1.0,2.16,5.0,5.0,0.0,0.0,0.0,25.0,97.0,14.0,9.0,6.0,0.0,6.0,1.0,1.0,0.0,37.0,13.32,2.16,6.16666667,0.0,0.3814433,0.06185567,0.15555556,0.8,0.26415094,0.57142857,1.827300148010254,0.33269985198974616,0.31958763,21.0,21.0,2024,Ryan Forcucci,UCSD,sa3031539,801573.0,/players/ryan-forcucci/sa3031539/stats/pitching,278,University of California San Diego 
2.0,2.0,2.16,6.0,6.0,0.0,0.0,0.0,25.0,112.0,28.0,15.0,6.0,1.0,8.0,2.0,2.0,0.0,20.0,7.2,2.88,2.5,0.36,0.17857143,0.07142857,0.2745098,1.44,0.33333333,0.6284153,3.977230377197266,-1.8172303771972658,0.10714286,,,2024,Patrick Steitz,KU,sa3043026,,/players/patrick-steitz/sa3043026/stats/pitching,113,University of Kansas 
2.0,0.0,2.160000082397464,3.0,3.0,0.0,0.0,0.0,16.2,71.0,14.0,5.0,4.0,1.0,4.0,1.0,1.0,0.0,8.0,4.320000164794928,2.160000082397464,2.0,0.540000020599366,0.11267606,0.05633803,0.21212121,1.080000041198732,0.22807018,0.79545455,4.8331045616149915,-2.6731044792175274,0.05633803,20.0,20.0,2024,Jake Timbes,BEL,sa3043839,,/players/jake-timbes/sa3043839/stats/pitching,22,Belmont University 
9.0,1.0,2.1634615384615383,17.0,16.0,1.0,1.0,1.0,104.0,408.0,72.0,29.0,25.0,9.0,19.0,9.0,1.0,1.0,101.0,8.740384615384615,1.6442307692307692,5.31578947,0.7788461538461539,0.24754902,0.04656863,0.18947368,0.875,0.23333333,0.81235698,3.897691477262057,-1.7342299388005187,0.20098039,24.0,24.0,2024,Brett Sears,NEB,sa3041892,822412.0,/players/brett-sears/sa3041892/stats/pitching,164,University of Nebraska Lincoln 
5.0,3.0,2.174496588623851,21.0,2.0,0.0,0.0,2.0,49.2,215.0,37.0,14.0,12.0,3.0,25.0,6.0,6.0,0.0,43.0,7.791946109235466,4.53020122629969,1.72,0.5436241471559627,0.2,0.11627907,0.20108696,1.2483221156914701,0.24637681,0.84639498,5.127247356538338,-2.952750767914487,0.08372093,,,2024,Andrew Berg,ARMY,sa3027014,,/players/andrew-berg/sa3027014/stats/pitching,17,U.S. Military Academy 
