team,full_name,conference,season,week,n_pitchers,fip_mean,fip_std,fip_p10,fip_p25,fip_p50,fip_p75,fip_p90,n_returning_pitchers,n_unknown_pitchers,ip_coverage
DART,Dartmouth,Ivy League,2026,,9,5.468846449936677,0.4079865319143199,4.935074779543475,5.190545693485123,5.468841537250366,5.747047785235129,5.989440621512223,9,0,1.0
RICE,Rice,American Athletic,2026,,13,5.468958569491456,0.45978231965700206,4.882796707450656,5.1549128771645965,5.466115841621564,5.778159756573487,6.062771874082584,13,0,1.0
RAD,Radford,Big South,2026,,14,5.475914995631043,0.334591673634782,5.041660807118515,5.244535958366256,5.473716042590539,5.700966042503274,5.908094480775012,14,0,1.0
MONM,Monmouth,Coastal Athletic,2026,,13,5.479263522290102,0.3099279596034647,5.080388045103863,5.268826960268036,5.480141465318649,5.689402692556867,5.874862820715577,13,0,1.0
JAX,Jacksonville,Atlantic Sun,2026,,16,5.483149894675255,0.29490144498487386,5.105282817330703,5.283528792354913,5.484997763033611,5.6826394492389465,5.860574105690572,16,0,1.0
EIU,Eastern Ill.,Ohio Valley,2026,,15,5.48676642489189,0.34390379755140077,5.04747268032302,5.254400045849291,5.4824948695653335,5.716896157556588,5.932037343705114,15,0,1.0
WCU,Western Caro.,Southern Conference,2026,,17,5.49108137135734,0.3566455033948285,5.030547368272096,5.2476036978679295,5.492701532099385,5.732479373521753,5.948331563118365,17,0,1.0
NCAT,N.C. A&T,Coastal Athletic,2026,,15,5.4971159158682985,0.36149138283680854,5.033592193682505,5.249785500071534,5.494122902780791,5.741293823865282,5.965447660711841,15,0,1.0
PUR,Purdue,Big Ten,2026,,14,5.497501316935604,0.39650643907302774,4.987138272839634,5.232916144687826,5.49760715789094,5.765969178356822,6.009186148747438,14,0,1.0
SFA,SFA,Southland,2026,,18,5.499565366719493,0.31700089990235364,5.091593548795051,5.282990408280046,5.497700357697486,5.717515474722486,5.9075047580566435,18,0,1.0
TAR,Tarleton St.,WAC,2026,,15,5.503470618590492,0.3956068249552938,4.988622935418128,5.235508168561418,5.506894977559157,5.765385277790027,6.009487420256212,15,0,1.0
SIU,Southern Ill.,Missouri Valley,2026,,13,5.504659259915918,0.35698130595194083,5.051207241712028,5.259083519616639,5.506658605865265,5.742176129746585,5.968733898031088,13,0,1.0
MIZ,Missouri,SEC,2026,,17,5.5055266524540585,0.38531623548196203,5.016495621565146,5.246398260668888,5.497544456583222,5.76182620423242,6.007285116008929,17,0,1.0
SELA,Southeastern La.,Southland,2026,,17,5.505574433825311,0.34828340488551607,5.0600934560164275,5.268030700990733,5.503018860252142,5.7358776078428075,5.952564611229153,17,0,1.0
UCR,UC Riverside,Big West,2026,,15,5.509754479254507,0.35099499709668003,5.060553337645299,5.272359674225829,5.503539078063136,5.750431288449532,5.96015133122616,15,0,1.0
MICH,Michigan,Big Ten,2026,,15,5.510568892152519,0.32475300016784003,5.0967822005930605,5.290377404823378,5.507375166964938,5.7271181169222345,5.933338541466878,15,0,1.0
APSU,Austin Peay,Atlantic Sun,2026,,17,5.5118175913408125,0.31171886947855654,5.116736397806268,5.29830917487588,5.504962472966506,5.725015913696513,5.913711856122149,17,0,1.0
USF,South Fla.,American Athletic,2026,,15,5.513245653896736,0.4436337597633307,4.949292144136973,5.214763674845816,5.5074082985805575,5.808747052803547,6.083798406018537,15,0,1.0
ILST,Illinois St.,Missouri Valley,2026,,13,5.517875866601461,0.3587998360568685,5.057675338699379,5.270623284869217,5.512574684094104,5.764339406358016,5.978679957197017,13,0,1.0
MINN,Minnesota,Big Ten,2026,,11,5.521790241635976,0.3931518529233736,5.018722796396374,5.252437008363543,5.522429625243873,5.7855101112345775,6.026033180143667,11,0,1.0
STAN,Stanford,ACC,2026,,16,5.525350921220063,0.2917895728967645,5.152828228106196,5.328623538699741,5.526945607601536,5.72207870702851,5.900770221684066,16,0,1.0
BC,Boston College,ACC,2026,,16,5.525507191066243,0.3133492168657839,5.124183543176048,5.311883002015413,5.526573326548309,5.735432683186659,5.926197841997507,16,0,1.0
APP,App State,Sun Belt,2026,,16,5.528299464602343,0.40512221490505085,5.009250915730281,5.254571370459263,5.527192767322399,5.804950790611735,6.044356952260066,16,0,1.0
TNTC,Tennessee Tech,Ohio Valley,2026,,15,5.528683460893888,0.3431081606363292,5.085183492777932,5.30003777785625,5.525001240033244,5.759795346010744,5.973967243279903,15,0,1.0
CHSO,Charleston So.,Big South,2026,,13,5.530590155587992,0.40355384901328656,5.019644422252585,5.25636478838762,5.527403447286967,5.800346264310327,6.048110125323915,13,0,1.0
UML,UMass Lowell,America East,2026,,14,5.5306528739889345,0.39894539718551325,5.023908255516971,5.262587333958481,5.525527956430639,5.79703230667838,6.054011266113517,14,0,1.0
DAV,Davidson,Atlantic 10,2026,,13,5.5308415765017385,0.3339767388255038,5.101355165519298,5.302559508419317,5.526378225176638,5.758385552181938,5.956166926741459,13,0,1.0
JOES,Saint Joseph's,Atlantic 10,2026,,16,5.531792387232143,0.3497576217449654,5.083688372900095,5.295023390993988,5.530472561575294,5.765443381927644,5.980966991778707,16,0,1.0
TTU,Texas Tech,Big 12,2026,,19,5.533081035412836,0.3751040480362739,5.054537246969455,5.280304603375146,5.531821715558738,5.786146698691028,6.016179267681512,19,0,1.0
BING,Binghamton,America East,2026,,11,5.533803226584715,0.3377870022716146,5.0947744328703095,5.307023693390632,5.536107685433343,5.7614033151030375,5.972203816274583,11,0,1.0
HCU,Houston Christian,Southland,2026,,16,5.534916429505437,0.3105873981048242,5.130909048949607,5.323558305571149,5.535115655413813,5.7461343006279915,5.937119460342022,16,0,1.0
OMA,Omaha,Summit League,2026,,13,5.536024771311175,0.40408520000330433,5.020911050119798,5.263468477093623,5.529865165610731,5.80902817815017,6.055313223930678,13,0,1.0
MEM,Memphis,American Athletic,2026,,14,5.537589782661431,0.3158124077039381,5.134783772520209,5.322897914860237,5.538906824571296,5.749392630438429,5.939944274689475,14,0,1.0
MSM,Mount St. Mary's,Metro Atlantic,2026,,18,5.539814235737995,0.299534269861765,5.153755152102615,5.336615743967581,5.543322292775333,5.741457570609195,5.9214122215705265,18,0,1.0
HPU,High Point,Big South,2026,,15,5.540115879421048,0.3298953618289524,5.115395911417809,5.3201769384912225,5.540828909190659,5.7602051443926,5.960711046851471,15,0,1.0
CAL,California,ACC,2026,,16,5.546071457872643,0.4140766652334667,5.022138801034993,5.26598073180446,5.539811917296664,5.81874584550991,6.085560699090028,16,0,1.0
CIT,The Citadel,Southern Conference,2026,,15,5.546474545224915,0.4315200156150556,4.9921993634511335,5.251157738450106,5.541573068039623,5.832167923387267,6.1019305696158135,15,0,1.0
VAL,Valparaiso,Missouri Valley,2026,,13,5.5539070352902105,0.3472872557270646,5.104406098347849,5.3153605267321575,5.5530503299118426,5.790660246201133,5.998769320350899,13,0,1.0
IONA,Iona,Metro Atlantic,2026,,11,5.554135928467712,0.3921873646419481,5.0535014033535575,5.287362695497675,5.550556978399089,5.815655908632553,6.061091839535178,11,0,1.0
NICH,Nicholls,Southland,2026,,18,5.554596670338849,0.4247306782078541,5.013358449624988,5.26642633900374,5.552362647115315,5.83248926326198,6.097038683478095,18,0,1.0
USA,South Alabama,Sun Belt,2026,,14,5.55583083441,0.31035637162913404,5.164424166576358,5.344508278997521,5.553972750833779,5.769732286397179,5.955159373193676,14,0,1.0
NKU,Northern Ky.,Horizon League,2026,,14,5.5597055995376925,0.39042359633803997,5.053908954963714,5.294904250286963,5.560480905139732,5.822269030607214,6.059777718952174,14,0,1.0
GMU,George Mason,Atlantic 10,2026,,16,5.560935862840551,0.3537901492920505,5.102502956709573,5.324555668250228,5.557877246533177,5.802801019590832,6.016468791474402,16,0,1.0
DEL,Delaware,Conference USA,2026,,17,5.56155139634757,0.32579488966461856,5.143479155838623,5.3408384482836855,5.561416491173873,5.7829558172404845,5.980673980525508,17,0,1.0
ND,Notre Dame,ACC,2026,,13,5.562357541278409,0.36845411143774054,5.090151737178308,5.316675023130832,5.5586627519851675,5.8134233741394725,6.035875206197739,13,0,1.0
JVST,Jacksonville St.,Conference USA,2026,,15,5.562495867390407,0.3303791861477172,5.138406929450355,5.335616522991646,5.562585280017749,5.783821136140467,5.988012453859293,15,0,1.0
NIA,Niagara,Metro Atlantic,2026,,14,5.570026624903412,0.347216024740846,5.122553275060009,5.334452825625249,5.567835364894843,5.797728531721449,6.025963739302227,14,0,1.0
MAN,Manhattan,Metro Atlantic,2026,,15,5.570043616849632,0.41843838972653996,5.026974766093212,5.28553161770712,5.569593721453408,5.853979251944632,6.102389596561521,15,0,1.0
RICH,Richmond,Atlantic 10,2026,,18,5.5734316273270945,0.40740459407341856,5.054426903130458,5.295799511420096,5.572332826330664,5.848296389115339,6.102995479028314,18,0,1.0
USI,Southern Ind.,Unknown,2026,,22,5.574654323592533,0.3428269946955093,5.13459871482042,5.341236192127944,5.5718981157173335,5.804943409432449,6.017897010298297,22,0,1.0
CAN,Canisius,Metro Atlantic,2026,,12,5.584012918216744,0.43295316391962424,5.02585229608217,5.288758503470738,5.581883927718685,5.877162979301254,6.148254767756272,12,0,1.0
WICH,Wichita St.,American Athletic,2026,,13,5.5858260133978055,0.4356840640193378,5.023221087223769,5.280301544585031,5.579638637552632,5.8834109976107225,6.145726880927873,13,0,1.0
VILL,Villanova,Big East,2026,,13,5.58632564554425,0.3177137543302829,5.181277959247115,5.3747123940896735,5.585698163009079,5.796462234818824,5.997660116625927,13,0,1.0
QUIN,Quinnipiac,Metro Atlantic,2026,,13,5.591098848786128,0.28525270480262327,5.229723297160522,5.39766373494805,5.586437199484315,5.783857693462926,5.959492409967879,13,0,1.0
WASH,Washington,Big Ten,2026,,12,5.599942680691535,0.3420321450615603,5.162781726425994,5.367731224320149,5.599390774103693,5.834255023722852,6.0362829367843,12,0,1.0
MILW,Milwaukee,Horizon League,2026,,15,5.602780284029611,0.3786014358983246,5.119535800313016,5.347182964722307,5.601215701058983,5.856332089878579,6.0912426058113205,15,0,1.0
SHSU,Sam Houston,Conference USA,2026,,13,5.6067852966642775,0.3836397568698184,5.11269504358976,5.3424302804796255,5.611587653601829,5.866395115421048,6.095131840344315,13,0,1.0
LIP,Lipscomb,Atlantic Sun,2026,,12,5.607141246409957,0.4402162942459414,5.044330329857099,5.310072806817464,5.6063640760099425,5.897615403546676,6.173480072988309,12,0,1.0
