rank,team,season,week,n_pitchers,fip_mean,fip_std,fip_p10,fip_p25,fip_p50,fip_p75,fip_p90,n_returning_pitchers,n_unknown_pitchers,ip_coverage
93,DUKE,2026,,15,5.649178927850636,0.34609910033320596,5.209224686196903,5.410976183246705,5.646053891686184,5.881368628414792,6.096305412543936,15,0,1.0
94,HAW,2026,,13,5.653608053434922,0.35636449551430593,5.198053830669818,5.416022724401787,5.652373320317107,5.893220544723304,6.112285990891602,13,0,1.0
95,CAM,2026,,14,5.6549457275858055,0.35335124941585583,5.200246691766638,5.419001512702765,5.6560158403642475,5.89926333081053,6.101678605822102,14,0,1.0
96,MINN,2026,,11,5.658415898683083,0.4137398775621233,5.125904997596271,5.375612258869106,5.661077877871639,5.942430804089071,6.191287886426494,11,0,1.0
97,UNF,2026,,15,5.661491532627523,0.38375877228449434,5.161204445000871,5.40267496542381,5.663621511231696,5.916111156167762,6.152439015223649,15,0,1.0
98,SAC,2026,,15,5.663859917023168,0.3344763065732696,5.234102793087446,5.44152550971646,5.660472319575696,5.885408421696277,6.096594408908354,15,0,1.0
99,SELA,2026,,17,5.667717237191567,0.3429185787851273,5.233248832811108,5.436084619002047,5.665432448417919,5.89403527578372,6.118464092035396,17,0,1.0
100,STAN,2026,,16,5.668824189880045,0.3225309491451296,5.259806130902026,5.447517016750547,5.666550197931966,5.891145545942848,6.085841045183747,16,0,1.0
101,MEM,2026,,13,5.669981335664465,0.3506784041501612,5.224918642128747,5.433732446413295,5.667181431057369,5.904806028272564,6.12556231185407,13,0,1.0
102,NAVY,2026,,11,5.670059927417763,0.37313612883836617,5.186717420828863,5.415314799346163,5.67049272138358,5.92147016773689,6.150001744585214,11,0,1.0
103,MICH,2026,,10,5.670990728422512,0.39723438127016286,5.164723127325483,5.402524280636971,5.668329021956989,5.941280453052604,6.183868738463479,10,0,1.0
104,BRY,2026,,13,5.67120937489606,0.4063490473563022,5.138906325836944,5.397198680208892,5.6721923055570045,5.943903877685614,6.197040671502603,13,0,1.0
105,JOES,2026,,9,5.671986234749321,0.442215800577996,5.116882134466536,5.364419926951535,5.663361449985395,5.967058528517482,6.248839462546299,9,0,1.0
106,STET,2026,,16,5.674331938985443,0.34480012431801266,5.235411085721171,5.441708728243829,5.671948569883959,5.906357412477314,6.116203745163627,16,0,1.0
107,KENN,2026,,12,5.674751336225942,0.3645391980539897,5.209144958212359,5.429107719712514,5.672586478535422,5.918832952308287,6.142482746382302,12,0,1.0
108,DBU,2026,,14,5.676686104437784,0.3763831591113145,5.194932247091428,5.424125837101597,5.678015652881781,5.933095153473302,6.15260599260611,14,0,1.0
109,UCF,2026,,12,5.679150186055274,0.35851238612736347,5.213634675844128,5.4398410229595395,5.67790344891179,5.918351907089546,6.137677922543109,12,0,1.0
110,PAC,2026,,11,5.683129740929883,0.37985414088759584,5.201379334421895,5.432235875723599,5.676731741168767,5.937160667650884,6.16669814274304,11,0,1.0
111,UTA,2026,,11,5.68483216970653,0.4109024294814588,5.148648536637575,5.407861285769456,5.689022221470434,5.96856123771826,6.210869724981296,11,0,1.0
112,UCR,2026,,13,5.687836243195001,0.3854143049685671,5.193932906891448,5.4306735806295,5.688305009927424,5.946357578772353,6.179956824273391,13,0,1.0
113,TXST,2026,,17,5.688064949579368,0.3461400450231382,5.247302794583636,5.450501758790735,5.688342630663943,5.9227163822098134,6.1316907622262615,17,0,1.0
114,FRES,2026,,11,5.690050926475499,0.42619025611055117,5.150342645937434,5.404222084660217,5.692949325583194,5.9766306177995805,6.231574386955008,11,0,1.0
115,NIU,2026,,13,5.690167611353344,0.3679527092683424,5.217995529813794,5.444352481761059,5.693224452186519,5.940115504785839,6.162693603814452,13,0,1.0
116,UVU,2026,,16,5.690726050544683,0.3572220987306825,5.235585746212245,5.450163612962967,5.686438386811386,5.92953712240541,6.151313124793111,16,0,1.0
117,GAST,2026,,15,5.693515546433642,0.3538360672751459,5.238481710435811,5.454525629145665,5.695987000513638,5.931636335409218,6.142820344745969,15,0,1.0
118,WKU,2026,,15,5.693999306984353,0.3486088335874337,5.241501651245175,5.456507995706895,5.6929586980489475,5.9309181070498305,6.139419813828378,15,0,1.0
119,SCU,2026,,18,5.695528763979594,0.3376029797952188,5.270293696695991,5.462361765057329,5.695063053487981,5.923001787478562,6.1248751136037285,18,0,1.0
120,PORT,2026,,11,5.700895067675239,0.38993353892615534,5.200371060451335,5.437662410100881,5.699378678483061,5.968596863583152,6.20441924057561,11,0,1.0
121,NEV,2026,,11,5.702380645048724,0.41632300274582207,5.166001057462922,5.425728498970007,5.708570508232344,5.981777655138949,6.235827415167349,11,0,1.0
122,APP,2026,,16,5.7035792329238655,0.3865957415478357,5.207233336497997,5.444282600573822,5.703344592033395,5.9662135660646065,6.2036187493643276,16,0,1.0
123,LAM,2026,,17,5.705677282833318,0.3581779237533447,5.242486398354078,5.465976293618209,5.7071298545638784,5.942135174823467,6.170584477394051,17,0,1.0
124,MTSU,2026,,13,5.706607226218246,0.3899929345673565,5.206899376131303,5.442803341602164,5.70499099401874,5.969832783789679,6.2044691199023765,13,0,1.0
125,UCSD,2026,,14,5.706650832187378,0.39229333666489086,5.201945990703205,5.438095122203096,5.70422263926714,5.966719991261671,6.217215002806313,14,0,1.0
126,M-OH,2026,,8,5.706805403710561,0.449132833211095,5.13760558694807,5.402924992253991,5.703614997867165,6.0112102143959625,6.28424053030952,8,0,1.0
127,LEH,2026,,16,5.709872395218869,0.3300131065566438,5.286362593715867,5.487327052159833,5.713565948513944,5.929614186550036,6.12988694627206,16,0,1.0
128,PSU,2026,,14,5.7114810537967005,0.33366974939952754,5.283641570701542,5.485148374606892,5.712503583861565,5.933592975426771,6.1322761661124785,14,0,1.0
129,ND,2026,,11,5.714905972394509,0.41168071470379214,5.185861770141196,5.434396652657565,5.715535490549623,5.987849270230638,6.24142937973844,11,0,1.0
130,PITT,2026,,12,5.715438085841552,0.33335822635211565,5.294129771145163,5.489068539317583,5.714873723903841,5.937756407493552,6.14188932055116,12,0,1.0
131,KU,2026,,11,5.716525359433089,0.39094435621427376,5.219143020186201,5.4530701806064465,5.717575219240393,5.9836969019014745,6.215617867638121,11,0,1.0
132,BCU,2026,,19,5.716692600205801,0.312986784987941,5.316732506379515,5.503195804827003,5.715338791115662,5.9281945733853325,6.119756988115252,19,0,1.0
133,RICE,2026,,12,5.71851209755512,0.4198224271590501,5.180789727689684,5.429596754641829,5.7227005729307905,6.005550395586521,6.252456493318657,12,0,1.0
134,GWEB,2026,,16,5.720126383638039,0.33894424566896975,5.285550009322555,5.487444124421884,5.7203791422163786,5.948184854607591,6.155397662455109,16,0,1.0
