Season,Name,Conference,W,L,T,PCT
2023,California,ACC,24.0,28.0,0.0,0.462
2024,California,ACC,36.0,19.0,0.0,0.655
2025,California,ACC,24.0,31.0,0.0,0.43636363636363634
2023,California Baptist,WAC,28.0,30.0,0.0,0.483
2024,California Baptist,WAC,38.0,24.0,0.0,0.613
2025,California Baptist,WAC,30.0,27.0,0.0,0.5263157894736842
2017,Campbell,Coastal Athletic,25.0,32.0,0.0,0.439
2018,Campbell,Coastal Athletic,35.0,26.0,0.0,0.574
2019,Campbell,Coastal Athletic,37.0,21.0,0.0,0.638
2021,Campbell,Coastal Athletic,37.0,18.0,0.0,0.673
2022,Campbell,Coastal Athletic,41.0,19.0,0.0,0.683
2023,Campbell,Coastal Athletic,46.0,15.0,0.0,0.754
2024,Campbell,Coastal Athletic,31.0,22.0,0.0,0.585
2025,Campbell,Coastal Athletic,25.0,31.0,0.0,0.44642857142857145
2017,Canisius,Metro Atlantic,35.0,22.0,0.0,0.614
2018,Canisius,Metro Atlantic,35.0,22.0,0.0,0.614
2019,Canisius,Metro Atlantic,24.0,29.0,0.0,0.453
2021,Canisius,Metro Atlantic,20.0,16.0,0.0,0.556
2022,Canisius,Metro Atlantic,29.0,25.0,0.0,0.537
2023,Canisius,Metro Atlantic,26.0,25.0,1.0,0.51
2024,Canisius,Metro Atlantic,18.0,30.0,0.0,0.375
2025,Canisius,Metro Atlantic,14.0,31.0,0.0,0.3111111111111111
2017,Central Ark.,Atlantic Sun,34.0,26.0,0.0,0.567
2018,Central Ark.,Atlantic Sun,32.0,25.0,0.0,0.561
2019,Central Ark.,Atlantic Sun,32.0,27.0,0.0,0.542
2021,Central Ark.,Atlantic Sun,23.0,28.0,0.0,0.451
2022,Central Ark.,Atlantic Sun,24.0,29.0,0.0,0.453
2023,Central Ark.,Atlantic Sun,23.0,31.0,0.0,0.426
2024,Central Ark.,Atlantic Sun,26.0,30.0,0.0,0.464
2025,Central Ark.,Atlantic Sun,20.0,35.0,0.0,0.36363636363636365
2017,Central Conn. St.,Northeast,36.0,22.0,0.0,0.621
2018,Central Conn. St.,Northeast,18.0,28.0,0.0,0.391
2019,Central Conn. St.,Northeast,31.0,23.0,0.0,0.574
2021,Central Conn. St.,Northeast,28.0,15.0,0.0,0.651
2022,Central Conn. St.,Northeast,29.0,18.0,0.0,0.617
2023,Central Conn. St.,Northeast,36.0,14.0,0.0,0.72
2024,Central Conn. St.,Northeast,18.0,24.0,0.0,0.429
