team,season,week,n_players,woba_mean,woba_std,woba_p10,woba_p25,woba_p50,woba_p75,woba_p90,n_returning_players,n_unknown_players,pa_coverage,avg_K%,avg_BB%,avg_ISO,avg_BABIP,rank
NORF,2026,,15,0.4235420969747796,0.009072939875387917,0.4120024195579938,0.4173527338932059,0.42335779027338927,0.4296197185031799,0.43512820193964863,15,0,1.0,0.21680046871395225,0.10486060907421675,0.17632879522977182,0.35241610599955,77
ILST,2026,,14,0.4234761956967886,0.007594909343810587,0.4137610570727059,0.41829062090262015,0.42348464294667965,0.42851949959012314,0.43324930095646164,14,0,1.0,0.18599286610845273,0.10150154191125502,0.17181007763837436,0.34932533209233235,78
UTU,2026,,16,0.42340730790683817,0.007175861162224299,0.41428272003022387,0.41838888149833764,0.42336724853578506,0.42819830506731044,0.43267476668656235,16,0,1.0,0.18026161983704947,0.11490850050850808,0.16026675064246299,0.33613691648252053,79
KSU,2026,,16,0.4233821183504926,0.006637618910268032,0.41498773898068236,0.41889278523075457,0.42331898385124184,0.42791214389722204,0.4318481320074582,16,0,1.0,0.21486196307574668,0.1292758079051893,0.16145185100090126,0.3225775503459105,80
USA,2026,,14,0.4233636081967499,0.009533470610085071,0.4111006162104697,0.41696526555521407,0.4232091771973325,0.42967583269557086,0.4355906353890954,14,0,1.0,0.19970664599564808,0.11596726953115966,0.1789409578563141,0.3411305744548406,81
MINN,2026,,12,0.423317155258806,0.006935135850896974,0.41445991136855925,0.4186282985559693,0.4232659145875199,0.4279210529089593,0.4322619717123448,12,0,1.0,0.2116997589170048,0.11765042927292461,0.17594017123523076,0.3397209612887335,82
ME,2026,,17,0.4233060231657768,0.008537722557382938,0.4124755095585608,0.41745421541691824,0.42310942143739505,0.4290795308246417,0.4342451159481685,17,0,1.0,0.2117218202859733,0.11094590141508275,0.17299520977309696,0.34632566870183557,83
WIN,2026,,17,0.42322712525325595,0.006914840523090188,0.41450437751257746,0.4185176534265309,0.4231962969223226,0.42781480549601153,0.43205039463889117,17,0,1.0,0.16369198303680543,0.11221491657906436,0.1587986398571714,0.33305960660152945,84
UMES,2026,,14,0.42312467781200874,0.008805503024576413,0.41189225596839923,0.41719760722121363,0.42308744911740115,0.4289887883013608,0.4343833994151148,14,0,1.0,0.20593011540119638,0.11114264096860035,0.1661779067966638,0.3449339654488823,85
NCSU,2026,,16,0.4230059220055221,0.007012496664466533,0.41392562586246956,0.41827829416250567,0.4229634949621832,0.4277159170536127,0.4320535663500321,16,0,1.0,0.1883307256101571,0.11691904459833272,0.17392557688098087,0.33122574783461733,86
UK,2026,,16,0.42280313617176335,0.006428619373570288,0.4145822862057234,0.41843509966002834,0.42268299143288635,0.4271528041967263,0.43109450591645576,16,0,1.0,0.20900408002824022,0.1087463792159449,0.18046413130007233,0.3367749641893153,87
BEL,2026,,14,0.4227329945033608,0.007922779478273795,0.4126561697680847,0.41734558125688137,0.42259063065238506,0.4278980935532209,0.43304693551496365,14,0,1.0,0.1996992179982839,0.10803761988377043,0.1745520622373749,0.34943374889678097,88
WVU,2026,,17,0.42266850473716916,0.007595401968777061,0.4127839146501805,0.41750143681728397,0.42269662509943223,0.42772953795000845,0.43241994839972975,17,0,1.0,0.21718583459887705,0.1107760561428466,0.1731751475890333,0.34108233108948316,89
WASH,2026,,14,0.4225362341746631,0.007323959655090617,0.4130940857321388,0.4174777521066343,0.4224826885870031,0.4274135845218829,0.4319480249806709,14,0,1.0,0.21284810604846355,0.1201858961719228,0.16835735852292807,0.34198885868385526,90
MISS,2026,,16,0.42241971076202117,0.007219717427604826,0.41319926229099013,0.4174963735169523,0.4223623141985705,0.42729794181104563,0.43161785787174495,16,0,1.0,0.23212158492778187,0.1361768275209233,0.16952525446487746,0.3297689199219783,91
HAW,2026,,18,0.4223582919177965,0.007325137168037643,0.4129822394900407,0.417415117093849,0.42226624974643584,0.42731230330577497,0.4317874246064835,18,0,1.0,0.21296628707403387,0.10458176802833366,0.17307184786010715,0.34262671147482,92
ORST,2026,,15,0.42217771313913854,0.0073679684556626395,0.4128609802324425,0.41706758367628277,0.42211708799193304,0.42718996869656467,0.4316772267969218,15,0,1.0,0.21861124492326106,0.11325677288731488,0.1644890069141932,0.3368240135028454,93
LAS,2026,,17,0.4217210329580662,0.011179463138991907,0.4074764207176964,0.41402670918237583,0.42158161244548487,0.4293420787072386,0.43619531769749853,17,0,1.0,0.18701315526326567,0.13408201967932926,0.16341392316945377,0.33434239782656683,94
FOR,2026,,14,0.4216906043443535,0.007609970698231342,0.4118987545814665,0.41662868653612145,0.42170194161978114,0.42680175201627013,0.4314325000502169,14,0,1.0,0.19669144656378307,0.10721358608290878,0.1773937025969205,0.34468307212927485,95
JKST,2026,,14,0.4208351639076209,0.009527366809091341,0.408692942233322,0.41435224614797495,0.42071551994546763,0.4270920631218288,0.4330957948200141,14,0,1.0,0.17811097366777176,0.12519551094530615,0.1581608838630084,0.3390910117305957,96
UCSB,2026,,16,0.4207074272109614,0.006642952251316411,0.41220954578014096,0.4161922113430306,0.4206788960527437,0.42516756278915724,0.42919142328237836,16,0,1.0,0.18970398823982443,0.1023254897584599,0.174318411185535,0.346190592631458,97
AAMU,2026,,15,0.4205703718178214,0.009198469535326487,0.4088031953802254,0.4143915032576667,0.420381100737926,0.4267919841402203,0.4324861074691633,15,0,1.0,0.18869167178296395,0.11741811672216682,0.1620806448473651,0.33665663889046854,98
SFA,2026,,19,0.42056754789986445,0.007963140514770815,0.4103456609654008,0.4151762536737098,0.42059053117901957,0.42591154175518536,0.43074135119326146,19,0,1.0,0.18540600291096482,0.12642547702874504,0.15733177287301295,0.33411623650383165,99
