Season,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%
2025,Ben VanMaanen,Arkansas-Pine Bluff,SR,1B,0.299,0.385,0.403,0.788,46,179,154,25,46,8,1,2,31,3,20,26,1,1,14.5%,11.2%,1.29,0.104,0.344,0.369,26,-2,94,35.4%,20.5%,44.1%,11.0%,3.6%
2025,Ben Vujovich,St. Thomas,SR,RF,0.297,0.361,0.487,0.848,49,219,195,46,58,11,1,8,39,2,18,37,12,6,16.9%,8.2%,2.06,0.19,0.331,0.382,34,0,100,47.1%,20.9%,32.0%,3.9%,16.3%
2025,Ben Watson,Virginia Tech,GR,LF,0.313,0.398,0.5,0.898,54,241,208,39,65,15,0,8,35,6,25,21,3,2,8.7%,10.4%,0.84,0.188,0.315,0.407,43,5,113,45.7%,16.0%,38.3%,4.3%,11.1%
2025,Ben Wilmes,Iowa,SR,LF,0.31,0.398,0.508,0.906,52,234,197,46,61,16,1,7,41,6,25,35,1,0,15.0%,10.7%,1.4,0.198,0.342,0.408,41,5,114,40.5%,15.3%,44.2%,4.3%,9.7%
2025,Ben Zeigler-Namoa,Hawaii,SR,1B,0.333,0.409,0.509,0.919,56,259,216,41,72,17,0,7,54,3,31,38,1,3,14.7%,12.0%,1.23,0.176,0.361,0.41,46,6,115,39.8%,16.7%,43.5%,3.2%,8.6%
2025,Benjamin Greer,Abilene Christian,GR,2B,0.291,0.379,0.525,0.903,57,265,223,56,65,20,7,6,44,1,34,55,24,5,20.8%,12.8%,1.63,0.233,0.351,0.402,46,4,111,32.6%,18.6%,48.8%,9.3%,7.1%
2025,Benji Ries,Le Moyne,SR,C,0.343,0.5,0.552,1.052,42,182,134,29,46,7,0,7,31,12,32,27,1,0,14.8%,17.6%,0.84,0.209,0.382,0.48,43,14,151,38.7%,28.3%,33.0%,2.8%,20.0%
2025,Bennett Markinson,Northwestern,SR,C,0.266,0.354,0.429,0.783,52,211,177,35,47,10,2,5,35,12,15,14,0,0,6.6%,7.1%,0.93,0.164,0.258,0.355,29,-4,87,50.6%,10.7%,38.7%,6.5%,7.7%
2025,Benny Casillas,Michigan,GR,SS,0.399,0.481,0.582,1.063,55,249,208,54,83,21,1,5,41,6,28,26,6,1,10.4%,11.2%,0.93,0.183,0.438,0.481,59,20,151,45.9%,19.3%,34.8%,5.0%,7.9%
2025,Benny Hernandez,Mississippi Valley State,SR,DH,0.299,0.375,0.552,0.927,38,152,134,22,40,7,0,9,36,1,16,36,3,0,23.7%,10.5%,2.26,0.254,0.344,0.409,27,3,114,39.8%,23.5%,36.7%,5.1%,25.0%
2025,Beny Bikar,Southern,FR,SS,0.293,0.406,0.346,0.752,39,162,133,33,39,3,2,0,24,6,20,19,11,3,11.7%,12.3%,0.95,0.053,0.339,0.367,23,-2,93,60.2%,10.2%,29.6%,7.4%,0.0%
2025,Billy Fluharty,Bucknell,SO,CF,0.258,0.364,0.333,0.697,45,195,159,33,41,10,1,0,18,6,21,35,11,3,17.9%,10.8%,1.66,0.075,0.328,0.338,24,-7,78,48.8%,19.8%,31.4%,3.3%,0.0%
2025,Billy Ham,Nevada,JR,DH,0.345,0.458,0.562,1.019,54,236,194,43,67,21,0,7,46,21,20,34,0,0,14.4%,8.5%,1.69,0.216,0.39,0.462,52,15,142,43.8%,16.3%,40.0%,3.1%,10.9%
2025,Billy Kender,Bucknell,SR,2B,0.257,0.342,0.377,0.719,45,202,175,33,45,11,2,2,23,0,24,42,6,1,20.8%,11.9%,1.75,0.12,0.321,0.335,24,-7,76,47.8%,17.9%,34.3%,3.7%,4.3%
2025,Bino Watters,Notre Dame,FR,DH,0.317,0.436,0.549,0.984,44,202,164,40,52,9,1,9,39,4,32,26,3,1,12.9%,15.8%,0.82,0.232,0.328,0.44,41,10,130,53.9%,12.1%,34.0%,5.7%,18.8%
2025,Blaine Brown,Rice,FR,DH,0.292,0.362,0.493,0.855,54,235,209,33,61,12,0,10,38,3,21,41,5,3,17.4%,8.9%,1.96,0.201,0.319,0.383,37,0,101,47.3%,23.1%,29.6%,5.9%,20.0%
2025,Blaine French,Central Arkansas,JR,RF,0.257,0.402,0.354,0.756,42,180,144,21,37,8,0,2,20,4,31,34,3,2,18.9%,17.2%,1.1,0.097,0.324,0.365,26,-2,92,47.3%,16.4%,36.4%,10.9%,5.0%
2025,Blaize Johnson,UNC Asheville,FR,LF,0.328,0.396,0.555,0.951,41,159,137,17,45,13,0,6,29,3,15,28,1,1,17.6%,9.4%,1.87,0.226,0.364,0.42,30,5,120,35.4%,19.5%,45.1%,9.7%,11.8%
2025,Blake Barthol,Coastal Carolina,JR,2B,0.274,0.387,0.468,0.855,69,320,252,55,69,13,0,12,53,18,33,73,13,3,22.8%,10.3%,2.21,0.194,0.328,0.39,52,2,104,35.6%,22.6%,41.8%,2.8%,16.2%
2025,Blake Barton,Belmont,SR,LF,0.294,0.388,0.448,0.836,60,261,221,43,65,12,2,6,43,4,31,36,15,4,13.8%,11.9%,1.16,0.154,0.326,0.384,41,1,101,39.7%,17.9%,42.5%,7.8%,7.9%
2025,Blake Bevis,Ball State,JR,1B,0.301,0.369,0.615,0.984,57,252,226,49,68,13,2,18,52,7,18,51,2,1,20.2%,7.1%,2.85,0.314,0.316,0.426,48,9,123,37.9%,13.8%,48.3%,12.6%,21.4%
2025,Blake Bradford,West Georgia,JR,3B,0.232,0.306,0.408,0.714,44,159,142,21,33,7,0,6,22,8,7,45,4,0,28.3%,4.4%,6.43,0.176,0.297,0.326,18,-7,72,43.0%,14.0%,43.0%,4.3%,15.0%
2025,Blake Brown,Sam Houston,SO,3B,0.247,0.367,0.343,0.711,55,243,198,35,49,9,2,2,26,2,36,64,2,2,26.3%,14.8%,1.78,0.096,0.353,0.343,30,-7,80,48.1%,22.1%,29.8%,0.8%,5.1%
2025,Blake Buzzeo,Miami (OH),SR,2B,0.241,0.346,0.317,0.662,58,246,199,36,48,9,0,2,38,5,30,45,9,2,18.3%,12.2%,1.5,0.075,0.291,0.318,26,-12,67,34.7%,15.3%,50.0%,10.0%,2.7%
2025,Blake Cavill,Troy,SR,1B,0.309,0.509,0.546,1.055,58,280,194,58,60,11,1,11,50,16,65,52,2,0,18.6%,23.2%,0.8,0.237,0.368,0.48,66,22,151,42.3%,20.4%,37.3%,6.3%,20.8%
2025,Blake Cyr,Florida,JR,LF,0.254,0.358,0.429,0.788,58,242,205,45,52,9,0,9,34,8,26,52,8,3,21.5%,10.7%,2.01,0.176,0.297,0.363,34,-4,91,38.6%,22.2%,39.2%,5.9%,15.0%
2025,Blake DeLamielleure,Jacksonville,GR,RF,0.273,0.356,0.426,0.782,56,248,216,39,59,15,0,6,58,9,20,49,22,3,19.8%,8.1%,2.44,0.153,0.325,0.359,34,-4,89,40.0%,20.0%,40.0%,7.9%,9.1%
2025,Blake Edgmon,Charleston Southern,JR,3B,0.291,0.43,0.4,0.83,51,216,165,40,48,7,1,3,40,15,29,31,6,1,14.4%,13.4%,1.07,0.109,0.331,0.397,36,3,108,37.8%,23.0%,39.3%,7.4%,5.7%
2025,Blake Guerin,Iowa,JR,1B,0.271,0.403,0.583,0.987,45,120,96,22,26,6,0,8,21,6,16,31,1,0,25.8%,13.3%,1.94,0.313,0.31,0.434,24,5,127,32.3%,16.9%,50.8%,12.3%,24.2%
